pos,Magnetic_Field,Electric_Field
0,0.00000,0.00000
1,0.00000,0.00000
2,0.00000,0.00000
3,0.00000,0.00000
4,-0.00000,-0.00000
5,-0.00000,-0.00000
6,-0.00000,-0.00000
7,-0.00000,-0.00000
8,-0.00000,-0.00000
9,0.00000,0.00000
10,0.00000,0.00000
11,0.00000,0.00000
12,0.00000,0.00000
13,-0.00000,-0.00000
14,-0.00000,-0.00000
15,-0.00000,-0.00000
16,-0.00000,-0.00000
17,-0.00000,-0.00000
18,0.00000,0.00000
19,0.00000,0.00000
20,0.00000,0.00000
21,0.00000,0.00000
22,-0.00000,-0.00000
23,-0.00000,-0.00000
24,-0.00000,-0.00000
25,-0.00000,-0.00000
26,-0.00000,-0.00000
27,0.00000,0.00000
28,0.00000,0.00000
29,0.00000,0.00000
30,0.00000,0.00000
31,0.00000,0.00000
32,-0.00000,-0.00000
33,-0.00000,-0.00000
34,-0.00000,-0.00000
35,-0.00000,-0.00000
36,0.00000,0.00000
37,0.00000,0.00000
38,0.00000,0.00000
39,0.00000,0.00000
40,0.00000,0.00000
41,-0.00000,-0.00000
42,-0.00000,-0.00000
43,-0.00000,-0.00000
44,-0.00000,-0.00000
45,0.00000,0.00000
46,0.00000,0.00000
47,0.00000,0.00000
48,0.00000,0.00000
49,0.00000,0.00000
50,-0.00000,-0.00000
51,-0.00000,-0.00000
52,-0.00000,-0.00000
53,-0.00000,-0.00000
54,-0.00000,-0.00000
55,0.00000,0.00000
56,0.00000,0.00000
57,0.00000,0.00000
58,0.00000,0.00000
59,-0.00000,-0.00000
60,-0.00000,-0.00000
61,-0.00000,-0.00000
62,-0.00000,-0.00000
63,-0.00000,-0.00000
64,0.00000,0.00000
65,0.00000,0.00000
66,0.00000,0.00000
67,0.00000,0.00000
68,0.00000,0.00000
69,-0.00000,-0.00000
70,-0.00000,-0.00000
71,-0.00000,-0.00000
72,-0.00000,-0.00000
73,0.00000,0.00000
74,0.00000,0.00000
75,0.00000,0.00000
76,0.00000,0.00000
77,0.00000,0.00000
78,-0.00000,-0.00000
79,-0.00000,-0.00000
80,-0.00000,-0.00000
81,-0.00000,-0.00000
82,0.00000,0.00000
83,0.00000,0.00000
84,0.00000,0.00000
85,0.00000,0.00000
86,0.00000,0.00000
87,-0.00000,-0.00000
88,-0.00000,-0.00000
89,-0.00000,-0.00000
90,-0.00000,-0.00000
91,-0.00000,-0.00000
92,0.00000,0.00000
93,0.00000,0.00000
94,0.00000,0.00000
95,0.00000,0.00000
96,-0.00000,-0.00000
97,-0.00000,-0.00000
98,-0.00000,-0.00000
99,-0.00000,-0.00000
100,0.00000,-0.00000
101,-0.00000,0.00000
102,0.00000,-0.00000
103,-0.00000,0.00000
104,0.00000,-0.00000
105,-0.00000,0.00000
106,0.00000,-0.00000
107,-0.00000,-0.00000
108,0.00000,0.00000
109,-0.00000,-0.00000
110,0.00000,0.00000
111,-0.00000,-0.00000
112,0.00000,0.00000
113,-0.00000,-0.00000
114,0.00000,0.00000
115,0.00000,-0.00000
116,-0.00000,0.00000
117,0.00000,-0.00000
118,-0.00000,-0.00000
119,0.00000,0.00000
120,-0.00000,-0.00000
121,0.00000,0.00000
122,0.00000,-0.00000
123,-0.00000,0.00000
124,0.00000,-0.00000
125,-0.00000,-0.00000
126,0.00000,0.00000
127,0.00000,-0.00000
128,-0.00000,0.00000
129,0.00000,-0.00000
130,-0.00000,-0.00000
131,0.00000,0.00001
132,0.00000,-0.00001
133,-0.00000,0.00000
134,0.00000,0.00000
135,-0.00000,-0.00001
136,-0.00000,0.00001
137,0.00000,-0.00000
138,-0.00000,-0.00001
139,-0.00000,0.00002
140,0.00000,-0.00001
141,-0.00000,-0.00001
142,-0.00000,0.00003
143,0.00000,-0.00003
144,-0.00000,-0.00002
145,-0.00000,0.00006
146,0.00000,-0.00004
147,-0.00000,-0.00004
148,-0.00000,0.00010
149,0.00000,-0.00003
150,-0.00000,-0.00011
151,-0.00000,0.00014
152,0.00000,0.00007
153,0.00000,-0.00025
154,-0.00000,0.00005
155,-0.00000,0.00035
156,0.00000,-0.00024
157,-0.00000,-0.00045
158,-0.00001,0.00051
159,0.00000,0.00059
160,0.00001,-0.00088
161,-0.00000,-0.00089
162,-0.00002,0.00136
163,0.00000,0.00162
164,0.00003,-0.00183
165,0.00000,-0.00325
166,-0.00004,0.00159
167,-0.00003,0.00625
168,0.00005,0.00142
169,0.00010,-0.00946
170,0.00001,-0.01076
171,-0.00016,0.00549
172,-0.00021,0.02484
173,-0.00001,0.02152
174,0.00036,-0.01413
175,0.00060,-0.05995
176,0.00039,-0.07416
177,-0.00036,-0.02478
178,-0.00146,0.08806
179,-0.00257,0.23228
180,-0.00337,0.36262
181,-0.00367,0.44314
182,-0.00350,0.46017
183,-0.00299,0.42184
184,-0.00233,0.34896
185,-0.00167,0.26426
186,-0.00112,0.18506
187,-0.00070,0.12075
188,-0.00041,0.07385
189,-0.00023,0.04253
190,-0.00012,0.02316
191,-0.00006,0.01196
192,-0.00003,0.00587
193,-0.00001,0.00275
194,-0.00001,0.00123
195,-0.00000,0.00053
196,-0.00000,0.00022
197,-0.00000,0.00009
198,-0.00000,0.00004
