pos,Magnetic_Field,Electric_Field
0,0.00000,0.00000
1,0.00000,0.00000
2,-0.00000,-0.00000
3,-0.00000,-0.00000
4,-0.00000,-0.00000
5,-0.00000,-0.00000
6,-0.00000,-0.00000
7,0.00000,0.00000
8,0.00000,0.00000
9,0.00000,0.00000
10,0.00000,0.00000
11,-0.00000,-0.00000
12,-0.00000,-0.00000
13,-0.00000,-0.00000
14,-0.00000,-0.00000
15,-0.00000,-0.00000
16,0.00000,0.00000
17,0.00000,0.00000
18,0.00000,0.00000
19,0.00000,0.00000
20,0.00000,0.00000
21,-0.00000,-0.00000
22,-0.00000,-0.00000
23,-0.00000,-0.00000
24,-0.00000,-0.00000
25,0.00000,0.00000
26,0.00000,0.00000
27,0.00000,0.00000
28,0.00000,0.00000
29,0.00000,0.00000
30,-0.00000,-0.00000
31,-0.00000,-0.00000
32,-0.00000,-0.00000
33,-0.00000,-0.00000
34,0.00000,0.00000
35,0.00000,0.00000
36,0.00000,0.00000
37,0.00000,0.00000
38,0.00000,0.00000
39,-0.00000,-0.00000
40,-0.00000,-0.00000
41,-0.00000,-0.00000
42,-0.00000,-0.00000
43,-0.00000,-0.00000
44,0.00000,0.00000
45,0.00000,0.00000
46,0.00000,0.00000
47,0.00000,0.00000
48,-0.00000,-0.00000
49,-0.00000,-0.00000
50,-0.00000,-0.00000
51,-0.00000,-0.00000
52,-0.00000,-0.00000
53,0.00000,0.00000
54,0.00000,0.00000
55,0.00000,0.00000
56,0.00000,0.00000
57,-0.00000,-0.00000
58,-0.00000,-0.00000
59,-0.00000,-0.00000
60,-0.00000,-0.00000
61,-0.00000,-0.00000
62,0.00000,0.00000
63,0.00000,0.00000
64,0.00000,0.00000
65,0.00000,0.00000
66,0.00000,0.00000
67,-0.00000,-0.00000
68,-0.00000,-0.00000
69,-0.00000,-0.00000
70,-0.00000,-0.00000
71,0.00000,0.00000
72,0.00000,0.00000
73,0.00000,0.00000
74,0.00000,0.00000
75,0.00000,0.00000
76,-0.00000,-0.00000
77,-0.00000,-0.00000
78,-0.00000,-0.00000
79,-0.00000,-0.00000
80,-0.00000,-0.00000
81,0.00000,0.00000
82,0.00000,0.00000
83,0.00000,0.00000
84,0.00000,0.00000
85,-0.00000,-0.00000
86,-0.00000,-0.00000
87,-0.00000,-0.00000
88,-0.00000,-0.00000
89,-0.00000,-0.00000
90,0.00000,0.00000
91,0.00000,0.00000
92,0.00000,0.00000
93,0.00000,0.00000
94,-0.00000,-0.00000
95,-0.00000,-0.00000
96,-0.00000,-0.00000
97,-0.00000,-0.00000
98,-0.00000,-0.00000
99,0.00000,0.00000
100,0.00000,0.00000
101,-0.00000,-0.00000
102,0.00000,0.00000
103,-0.00000,-0.00000
104,0.00000,0.00000
105,-0.00000,-0.00000
106,0.00000,0.00000
107,-0.00000,-0.00000
108,0.00000,0.00000
109,-0.00000,-0.00000
110,0.00000,0.00000
111,-0.00000,-0.00000
112,-0.00000,0.00000
113,0.00000,-0.00000
114,-0.00000,0.00000
115,0.00000,-0.00000
116,-0.00000,0.00000
117,0.00000,0.00000
118,-0.00000,-0.00000
119,0.00000,0.00000
120,-0.00000,-0.00000
121,0.00000,0.00000
122,-0.00000,-0.00000
123,-0.00000,0.00000
124,0.00000,-0.00000
125,-0.00000,0.00000
126,0.00000,0.00000
127,-0.00000,-0.00000
128,0.00000,0.00000
129,0.00000,-0.00000
130,-0.00000,0.00000
131,0.00000,-0.00000
132,-0.00000,-0.00000
133,0.00000,0.00000
134,-0.00000,-0.00000
135,-0.00000,0.00000
136,0.00000,-0.00000
137,-0.00000,0.00000
138,0.00000,0.00000
139,-0.00000,-0.00000
140,-0.00000,0.00000
141,0.00000,-0.00000
142,-0.00000,-0.00000
143,0.00000,0.00001
144,0.00000,-0.00001
145,-0.00000,0.00000
146,0.00000,0.00000
147,-0.00000,-0.00001
148,-0.00000,0.00001
149,0.00000,-0.00000
150,-0.00000,-0.00001
151,-0.00000,0.00002
152,0.00000,-0.00001
153,-0.00000,-0.00001
154,0.00000,0.00002
155,0.00000,-0.00002
156,-0.00000,-0.00000
157,0.00000,0.00003
158,0.00000,-0.00003
159,-0.00000,-0.00000
160,0.00000,0.00004
161,0.00000,-0.00004
162,-0.00000,-0.00001
163,-0.00000,0.00007
164,0.00000,-0.00005
165,-0.00000,-0.00004
166,-0.00000,0.00010
167,0.00000,-0.00002
168,-0.00000,-0.00012
169,-0.00000,0.00013
170,0.00000,0.00010
171,0.00000,-0.00016
172,-0.00000,0.00014
173,0.00000,0.00058
174,0.00001,0.00051
175,0.00001,0.00110
176,0.00003,0.00327
177,0.00006,0.00621
178,0.00011,0.01064
179,0.00019,0.02001
180,0.00033,0.03632
181,0.00055,0.05946
182,0.00086,0.09187
183,0.00124,0.13796
184,0.00170,0.19639
185,0.00221,0.25796
186,0.00266,0.31266
187,0.00289,0.35283
188,0.00284,0.36748
189,0.00252,0.34178
190,0.00197,0.27136
191,0.00125,0.17536
192,0.00052,0.08811
193,0.00004,0.03452
194,-0.00003,0.01494
195,0.00022,0.01359
196,0.00048,0.01750
197,0.00043,0.02465
198,0.00009,0.03638
