pos,Magnetic_Field,Electric_Field
0,0.00000,0.00000
1,-0.00000,-0.00000
2,0.00000,0.00000
3,0.00000,-0.00000
4,0.00000,0.00012
5,0.00000,0.00022
6,0.00000,0.00039
7,0.00000,0.00068
8,0.00000,0.00116
9,0.00001,0.00193
10,0.00001,0.00315
11,0.00001,0.00504
12,0.00002,0.00791
13,0.00003,0.01216
14,0.00005,0.01832
15,0.00007,0.02705
16,0.00010,0.03916
17,0.00015,0.05558
18,0.00021,0.07730
19,0.00028,0.10540
20,0.00037,0.14086
21,0.00049,0.18452
22,0.00063,0.23693
23,0.00079,0.29820
24,0.00098,0.36788
25,0.00118,0.44486
26,0.00140,0.52729
27,0.00163,0.61263
28,0.00185,0.69768
29,0.00207,0.77880
30,0.00226,0.85214
31,0.00242,0.91393
32,0.00255,0.96078
33,0.00263,0.99003
34,0.00265,0.99996
35,0.00263,0.98998
36,0.00255,0.96067
37,0.00243,0.91371
38,0.00226,0.85175
39,0.00207,0.77812
40,0.00186,0.69652
41,0.00163,0.61070
42,0.00141,0.52414
43,0.00120,0.43982
44,0.00101,0.35997
45,0.00084,0.28604
46,0.00070,0.21861
47,0.00059,0.15747
48,0.00052,0.10169
49,0.00048,0.04982
50,-0.00000,-0.18270
51,-0.00000,0.00000
52,-0.00000,0.00000
53,-0.00000,0.00000
54,-0.00000,0.00000
55,-0.00000,0.00000
56,-0.00000,0.00000
57,-0.00000,0.00000
58,-0.00000,0.00000
59,-0.00000,0.00000
60,-0.00000,0.00000
61,-0.00000,0.00000
62,-0.00000,0.00000
63,-0.00000,0.00000
64,-0.00000,0.00000
65,-0.00000,0.00000
66,-0.00000,0.00000
67,-0.00000,0.00000
68,-0.00000,0.00000
69,-0.00000,0.00000
70,-0.00000,0.00000
71,-0.00000,0.00000
72,-0.00000,0.00000
73,-0.00000,0.00000
74,-0.00000,0.00000
75,-0.00000,0.00000
76,-0.00000,0.00000
77,-0.00000,0.00000
78,-0.00000,0.00000
79,-0.00000,0.00000
80,-0.00000,0.00000
81,-0.00000,0.00000
82,-0.00000,0.00000
83,-0.00000,0.00000
84,-0.00000,0.00000
85,-0.00000,0.00000
86,-0.00000,0.00000
87,-0.00000,0.00000
88,-0.00000,0.00000
89,-0.00000,0.00000
90,-0.00000,0.00000
91,-0.00000,0.00000
92,-0.00000,0.00000
93,-0.00000,0.00000
94,-0.00000,0.00000
95,-0.00000,0.00000
96,-0.00000,0.00000
97,-0.00000,0.00000
98,-0.00000,0.00000
99,-0.00000,0.00000
100,-0.00000,0.00000
101,-0.00000,0.00000
102,-0.00000,0.00000
103,-0.00000,0.00000
104,-0.00000,0.00000
105,-0.00000,0.00000
106,-0.00000,0.00000
107,-0.00000,0.00000
108,-0.00000,0.00000
109,-0.00000,0.00000
110,-0.00000,0.00000
111,-0.00000,0.00000
112,-0.00000,0.00000
113,-0.00000,0.00000
114,-0.00000,0.00000
115,-0.00000,0.00000
116,-0.00000,0.00000
117,-0.00000,0.00000
118,-0.00000,0.00000
119,-0.00000,0.00000
120,-0.00000,0.00000
121,-0.00000,0.00000
122,-0.00000,0.00000
123,-0.00000,0.00000
124,-0.00000,0.00000
125,-0.00000,0.00000
126,-0.00000,0.00000
127,-0.00000,0.00000
128,-0.00000,0.00000
129,-0.00000,0.00000
130,-0.00000,0.00000
131,-0.00000,0.00000
132,-0.00000,0.00001
133,-0.00000,0.00002
134,-0.00000,0.00004
135,-0.00000,0.00007
136,-0.00000,0.00012
137,-0.00000,0.00022
138,-0.00000,0.00039
139,-0.00000,0.00068
140,-0.00001,0.00116
141,-0.00001,0.00193
142,-0.00001,0.00315
143,-0.00002,0.00504
144,-0.00003,0.00791
145,-0.00005,0.01216
146,-0.00007,0.01832
147,-0.00010,0.02705
148,-0.00015,0.03916
149,-0.00021,0.05558
150,-0.00028,0.07730
151,-0.00037,0.10540
152,-0.00049,0.14086
153,-0.00063,0.18452
154,-0.00079,0.23693
155,-0.00098,0.29820
156,-0.00118,0.36788
157,-0.00140,0.44486
158,-0.00163,0.52729
159,-0.00185,0.61263
160,-0.00207,0.69768
161,-0.00226,0.77880
162,-0.00242,0.85214
163,-0.00255,0.91393
164,-0.00263,0.96079
165,-0.00265,0.99005
166,-0.00263,1.00000
167,-0.00255,0.99005
168,-0.00242,0.96079
169,-0.00226,0.91393
170,-0.00207,0.85214
171,-0.00185,0.77880
172,-0.00163,0.69768
173,-0.00140,0.61263
174,-0.00118,0.52729
175,-0.00098,0.44486
176,-0.00079,0.36788
177,-0.00063,0.29820
178,-0.00049,0.23693
179,-0.00037,0.18452
180,-0.00028,0.14086
181,-0.00021,0.10540
182,-0.00015,0.07730
183,-0.00010,0.05558
184,-0.00007,0.03916
185,-0.00005,0.02705
186,-0.00003,0.01832
187,-0.00002,0.01216
188,-0.00001,0.00791
189,-0.00001,0.00504
190,-0.00001,0.00315
191,-0.00000,0.00193
192,-0.00000,0.00116
193,-0.00000,0.00068
194,-0.00000,0.00039
195,-0.00000,0.00022
196,0.00000,0.00012
197,0.00000,0.00000
198,0.00000,0.00000
