pos,Magnetic_Field,Electric_Field
0,0.00000,0.00000
1,0.00000,0.00000
2,0.00000,0.00000
3,0.00000,0.00000
4,0.00000,0.00000
5,0.00000,0.00000
6,0.00000,0.00000
7,0.00000,0.00012
8,0.00000,0.00010
9,0.00000,0.00029
10,0.00000,0.00039
11,0.00000,0.00077
12,0.00000,0.00116
13,0.00001,0.00199
14,0.00001,0.00305
15,0.00001,0.00486
16,0.00002,0.00730
17,0.00003,0.01102
18,0.00004,0.01603
19,0.00006,0.02313
20,0.00009,0.03245
21,0.00012,0.04486
22,0.00016,0.06054
23,0.00021,0.08032
24,0.00028,0.10420
25,0.00035,0.13273
26,0.00044,0.16547
27,0.00054,0.20241
28,0.00064,0.24245
29,0.00076,0.28484
30,0.00087,0.32778
31,0.00098,0.36989
32,0.00108,0.40891
33,0.00118,0.44324
34,0.00125,0.47070
35,0.00130,0.49009
36,0.00133,0.49996
37,0.00133,0.50004
38,0.00130,0.49001
39,0.00125,0.47078
40,0.00118,0.44315
41,0.00108,0.40900
42,0.00098,0.36980
43,0.00087,0.32787
44,0.00076,0.28475
45,0.00064,0.24254
46,0.00054,0.20232
47,0.00044,0.16556
48,0.00035,0.13264
49,0.00028,0.10429
50,0.00021,0.08023
51,0.00016,0.06063
52,0.00012,0.04477
53,0.00009,0.03253
54,0.00006,0.02304
55,0.00004,0.01612
56,0.00003,0.01093
57,0.00002,0.00739
58,0.00001,0.00477
59,0.00001,0.00314
60,0.00001,0.00190
61,0.00000,0.00125
62,0.00000,0.00068
63,0.00000,0.00048
64,0.00000,0.00021
65,0.00000,0.00019
66,0.00000,0.00004
67,0.00000,0.00009
68,-0.00000,-0.00002
69,0.00000,0.00006
70,-0.00000,-0.00004
71,0.00000,0.00005
72,-0.00000,-0.00004
73,0.00000,0.00004
74,-0.00000,-0.00004
75,0.00000,0.00004
76,-0.00000,-0.00004
77,0.00000,0.00004
78,-0.00000,-0.00004
79,0.00000,0.00004
80,-0.00000,-0.00004
81,0.00000,0.00004
82,-0.00000,-0.00004
83,0.00000,0.00004
84,-0.00000,-0.00004
85,0.00000,0.00004
86,-0.00000,-0.00004
87,0.00000,0.00004
88,-0.00000,-0.00004
89,0.00000,0.00004
90,-0.00000,-0.00004
91,0.00000,0.00004
92,-0.00000,-0.00004
93,0.00000,0.00004
94,-0.00000,-0.00004
95,0.00000,0.00004
96,-0.00000,-0.00004
97,0.00000,0.00004
98,-0.00000,-0.00004
99,0.00000,0.00004
100,-0.00000,-0.00004
101,0.00000,0.00004
102,-0.00000,-0.00004
103,0.00000,0.00004
104,-0.00000,-0.00004
105,0.00000,0.00004
106,-0.00000,-0.00004
107,0.00000,0.00004
108,-0.00000,-0.00004
109,0.00000,0.00004
110,-0.00000,-0.00004
111,0.00000,0.00004
112,-0.00000,-0.00004
113,0.00000,0.00004
114,-0.00000,-0.00004
115,0.00000,0.00004
116,-0.00000,-0.00004
117,0.00000,0.00004
118,-0.00000,-0.00004
119,0.00000,0.00004
120,-0.00000,-0.00004
121,0.00000,0.00004
122,-0.00000,-0.00004
123,0.00000,0.00004
124,-0.00000,-0.00004
125,0.00000,0.00004
126,-0.00000,-0.00004
127,0.00000,0.00004
128,-0.00000,-0.00004
129,0.00000,0.00005
130,-0.00000,-0.00004
131,0.00000,0.00006
132,-0.00000,-0.00002
133,-0.00000,0.00009
134,-0.00000,0.00004
135,-0.00000,0.00019
136,-0.00000,0.00021
137,-0.00000,0.00048
138,-0.00000,0.00068
139,-0.00001,0.00125
140,-0.00001,0.00190
141,-0.00001,0.00314
142,-0.00002,0.00477
143,-0.00003,0.00739
144,-0.00004,0.01093
145,-0.00006,0.01612
146,-0.00009,0.02304
147,-0.00012,0.03253
148,-0.00016,0.04477
149,-0.00021,0.06063
150,-0.00028,0.08023
151,-0.00035,0.10429
152,-0.00044,0.13264
153,-0.00054,0.16556
154,-0.00064,0.20232
155,-0.00076,0.24254
156,-0.00087,0.28475
157,-0.00098,0.32787
158,-0.00108,0.36980
159,-0.00118,0.40900
160,-0.00125,0.44315
161,-0.00130,0.47078
162,-0.00133,0.49001
163,-0.00133,0.50004
164,-0.00130,0.49996
165,-0.00125,0.49009
166,-0.00118,0.47070
167,-0.00108,0.44324
168,-0.00098,0.40891
169,-0.00087,0.36989
170,-0.00076,0.32778
171,-0.00064,0.28484
172,-0.00054,0.24245
173,-0.00044,0.20241
174,-0.00035,0.16547
175,-0.00028,0.13273
176,-0.00021,0.10420
177,-0.00016,0.08032
178,-0.00012,0.06054
179,-0.00009,0.04486
180,-0.00006,0.03245
181,-0.00004,0.02313
182,-0.00003,0.01603
183,-0.00002,0.01102
184,-0.00001,0.00730
185,-0.00001,0.00486
186,-0.00001,0.00305
187,-0.00000,0.00199
188,-0.00000,0.00116
189,-0.00000,0.00077
190,-0.00000,0.00039
191,-0.00000,0.00029
192,-0.00000,0.00010
193,0.00000,0.00012
194,0.00000,0.00000
195,0.00000,0.00000
196,0.00000,0.00000
197,0.00000,0.00000
198,0.00000,0.00000
