0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
-0.01628,-0.01937,-0.00582,-0.00514,0.02490,0.02392,0.05882,0.07006,0.12937,0.16281,0.27847,0.47118,1.07191,2.80551,8.24370,20.12418,-20.12418,-8.24370,-2.80551,-1.07191,-0.47118,-0.27847,-0.16281,-0.12937,-0.07006,-0.05882,-0.02392,-0.02490,0.00514,0.00582,0.01937,0.01628,
-0.03196,-0.00743,-0.01298,-0.00045,0.01650,0.02597,0.05145,0.07601,0.12764,0.18141,0.30047,0.57286,1.52158,5.41320,25.17356,139.97086,-139.97086,-25.17356,-5.41320,-1.52158,-0.57286,-0.30047,-0.18141,-0.12764,-0.07601,-0.05145,-0.02597,-0.01650,0.00045,0.01298,0.00743,0.03196,
-0.01628,-0.01937,-0.00582,-0.00514,0.02490,0.02392,0.05882,0.07006,0.12937,0.16281,0.27847,0.47118,1.07191,2.80551,8.24370,20.12418,-20.12418,-8.24370,-2.80551,-1.07191,-0.47118,-0.27847,-0.16281,-0.12937,-0.07006,-0.05882,-0.02392,-0.02490,0.00514,0.00582,0.01937,0.01628,
-0.02809,-0.00671,-0.01608,0.00693,0.00569,0.03105,0.03966,0.08035,0.10239,0.15347,0.21440,0.34513,0.60904,1.19083,2.32276,3.20607,-3.20607,-2.32276,-1.19083,-0.60904,-0.34513,-0.21440,-0.15347,-0.10239,-0.08035,-0.03966,-0.03105,-0.00569,-0.00693,0.01608,0.00671,0.02809,
-0.01156,-0.01962,-0.00717,0.00013,0.01588,0.02208,0.04656,0.06489,0.09686,0.11152,0.16893,0.22342,0.34857,0.50076,0.70510,0.59084,-0.59084,-0.70510,-0.50076,-0.34857,-0.22342,-0.16893,-0.11152,-0.09686,-0.06489,-0.04656,-0.02208,-0.01588,-0.00013,0.00717,0.01962,0.01156,
-0.02419,-0.00618,-0.01795,0.00910,-0.00390,0.02509,0.02372,0.06582,0.06693,0.09732,0.11501,0.15738,0.19470,0.24146,0.24403,0.15043,-0.15043,-0.24403,-0.24146,-0.19470,-0.15738,-0.11501,-0.09732,-0.06693,-0.06582,-0.02372,-0.02509,0.00390,-0.00910,0.01795,0.00618,0.02419,
-0.00986,-0.01801,-0.01160,-0.00249,0.00526,0.01360,0.02312,0.04192,0.05926,0.06556,0.08938,0.09850,0.12559,0.12162,0.11331,0.04273,-0.04273,-0.11331,-0.12162,-0.12559,-0.09850,-0.08938,-0.06556,-0.05926,-0.04192,-0.02312,-0.01360,-0.00526,0.00249,0.01160,0.01801,0.00986,
-0.02326,-0.00562,-0.01850,-0.00386,-0.00829,0.00724,0.00754,0.03046,0.03613,0.05558,0.05875,0.07304,0.07515,0.07466,0.05574,0.02579,-0.02579,-0.05574,-0.07466,-0.07515,-0.07304,-0.05875,-0.05558,-0.03613,-0.03046,-0.00754,-0.00724,0.00829,0.00386,0.01850,0.00562,0.02326,
-0.00615,-0.02221,-0.00565,-0.02513,0.00506,-0.01300,0.01465,-0.00182,0.03662,0.02978,0.05445,0.04033,0.05580,0.03446,0.03796,0.00136,-0.00136,-0.03796,-0.03446,-0.05580,-0.04033,-0.05445,-0.02978,-0.03662,0.00182,-0.01465,0.01300,-0.00506,0.02513,0.00565,0.02221,0.00615,
-0.01996,-0.00685,-0.01411,-0.01926,-0.00837,-0.01360,-0.00029,-0.00088,0.01503,0.02505,0.02980,0.03321,0.03086,0.02640,0.01885,0.00859,-0.00859,-0.01885,-0.02640,-0.03086,-0.03321,-0.02980,-0.02505,-0.01503,0.00088,0.00029,0.01360,0.00837,0.01926,0.01411,0.00685,0.01996,
-0.00152,-0.01978,-0.00291,-0.02873,0.00304,-0.02484,0.00685,-0.01775,0.01696,0.00572,0.02812,0.01019,0.02572,0.00691,0.01724,-0.00654,0.00654,-0.01724,-0.00691,-0.02572,-0.01019,-0.02812,-0.00572,-0.01696,0.01775,-0.00685,0.02484,-0.00304,0.02873,0.00291,0.01978,0.00152,
-0.01367,-0.00318,-0.01281,-0.01075,-0.01002,-0.01406,-0.01423,-0.00580,0.00063,0.00785,0.00211,0.01146,0.00977,0.01582,0.01081,0.00860,-0.00860,-0.01081,-0.01582,-0.00977,-0.01146,-0.00211,-0.00785,-0.00063,0.00580,0.01423,0.01406,0.01002,0.01075,0.01281,0.00318,0.01367,
0.00269,-0.01448,-0.00262,-0.02412,0.00526,-0.02329,-0.00654,-0.02571,0.00829,-0.00499,0.01362,-0.00551,0.01118,-0.00318,0.01239,-0.00845,0.00845,-0.01239,0.00318,-0.01118,0.00551,-0.01362,0.00499,-0.00829,0.02571,0.00654,0.02329,-0.00526,0.02412,0.00262,0.01448,-0.00269,
-0.01130,0.00467,-0.00982,-0.01132,-0.00898,-0.01127,-0.01486,-0.01437,-0.00621,-0.00049,-0.00375,0.00099,0.00156,0.00223,0.00455,0.00293,-0.00293,-0.00455,-0.00223,-0.00156,-0.00099,0.00375,0.00049,0.00621,0.01437,0.01486,0.01127,0.00898,0.01132,0.00982,-0.00467,0.01130,
0.00406,-0.00761,0.00399,-0.01682,0.00171,-0.02114,0.00056,-0.02386,0.00312,-0.01339,0.00796,-0.01367,0.00651,-0.01234,0.00817,-0.01210,0.01210,-0.00817,0.01234,-0.00651,0.01367,-0.00796,0.01339,-0.00312,0.02386,-0.00056,0.02114,-0.00171,0.01682,-0.00399,0.00761,-0.00406,
-0.00335,0.00597,-0.00662,0.00292,-0.00775,-0.00467,-0.01021,-0.00374,-0.01180,-0.00277,-0.01172,-0.00146,-0.00612,0.00057,-0.00374,0.00426,-0.00426,0.00374,-0.00057,0.00612,0.00146,0.01172,0.00277,0.01180,0.00374,0.01021,0.00467,0.00775,-0.00292,0.00662,-0.00597,0.00335,
0.01111,-0.00335,0.00802,-0.00862,0.00258,-0.00950,-0.00147,-0.01278,-0.00164,-0.01145,0.00029,-0.00932,-0.00336,-0.00762,-0.00050,-0.00573,0.00573,0.00050,0.00762,0.00336,0.00932,-0.00029,0.01145,0.00164,0.01278,0.00147,0.00950,-0.00258,0.00862,-0.00802,0.00335,-0.01111,
