0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
0.00394,0.02179,0.01434,0.03234,0.02121,0.03459,0.01578,0.02342,-0.00128,0.00190,-0.02470,-0.02252,-0.04668,-0.03557,-0.04064,-0.00713,0.00713,0.04064,0.03557,0.04668,0.02252,0.02470,-0.00190,0.00128,-0.02342,-0.01578,-0.03459,-0.02121,-0.03234,-0.01434,-0.02179,-0.00394,
0.01782,0.01208,0.02917,0.02062,0.03344,0.02030,0.02712,0.00637,0.00461,-0.02268,-0.02986,-0.05919,-0.06162,-0.08058,-0.05925,-0.03585,0.03585,0.05925,0.08058,0.06162,0.05919,0.02986,0.02268,-0.00461,-0.00637,-0.02712,-0.02030,-0.03344,-0.02062,-0.02917,-0.01208,-0.01782,
0.00795,0.02601,0.01731,0.03497,0.02150,0.03352,0.01032,0.01432,-0.01798,-0.02257,-0.06188,-0.07411,-0.11756,-0.12573,-0.13965,-0.06698,0.06698,0.13965,0.12573,0.11756,0.07411,0.06188,0.02257,0.01798,-0.01432,-0.01032,-0.03352,-0.02150,-0.03497,-0.01731,-0.02601,-0.00795,
0.02171,0.01483,0.03173,0.02224,0.03365,0.01858,0.02161,-0.00352,-0.01190,-0.04830,-0.07019,-0.12145,-0.16063,-0.23616,-0.28256,-0.23313,0.23313,0.28256,0.23616,0.16063,0.12145,0.07019,0.04830,0.01190,0.00352,-0.02161,-0.01858,-0.03365,-0.02224,-0.03173,-0.01483,-0.02171,
0.01049,0.02776,0.01987,0.03532,0.02253,0.03001,0.00748,0.00444,-0.02963,-0.04692,-0.09747,-0.14071,-0.24053,-0.38095,-0.65035,-0.79612,0.79612,0.65035,0.38095,0.24053,0.14071,0.09747,0.04692,0.02963,-0.00444,-0.00748,-0.03001,-0.02253,-0.03532,-0.01987,-0.02776,-0.01049,
0.02272,0.01571,0.03338,0.02165,0.03537,0.01539,0.02121,-0.01063,-0.01738,-0.06416,-0.09172,-0.17097,-0.27048,-0.54620,-1.21304,-2.69626,2.69626,1.21304,0.54620,0.27048,0.17097,0.09172,0.06416,0.01738,0.01063,-0.02121,-0.01539,-0.03537,-0.02165,-0.03338,-0.01571,-0.02272,
0.01049,0.02776,0.01987,0.03532,0.02253,0.03001,0.00748,0.00444,-0.02963,-0.04692,-0.09747,-0.14071,-0.24053,-0.38095,-0.65035,-0.79612,0.79612,0.65035,0.38095,0.24053,0.14071,0.09747,0.04692,0.02963,-0.00444,-0.00748,-0.03001,-0.02253,-0.03532,-0.01987,-0.02776,-0.01049,
0.02171,0.01483,0.03173,0.02224,0.03365,0.01858,0.02161,-0.00352,-0.01190,-0.04830,-0.07019,-0.12145,-0.16063,-0.23616,-0.28256,-0.23313,0.23313,0.28256,0.23616,0.16063,0.12145,0.07019,0.04830,0.01190,0.00352,-0.02161,-0.01858,-0.03365,-0.02224,-0.03173,-0.01483,-0.02171,
0.00795,0.02601,0.01731,0.03497,0.02150,0.03352,0.01032,0.01432,-0.01798,-0.02257,-0.06188,-0.07411,-0.11756,-0.12573,-0.13965,-0.06698,0.06698,0.13965,0.12573,0.11756,0.07411,0.06188,0.02257,0.01798,-0.01432,-0.01032,-0.03352,-0.02150,-0.03497,-0.01731,-0.02601,-0.00795,
0.01782,0.01208,0.02917,0.02062,0.03344,0.02030,0.02712,0.00637,0.00461,-0.02268,-0.02986,-0.05919,-0.06162,-0.08058,-0.05925,-0.03585,0.03585,0.05925,0.08058,0.06162,0.05919,0.02986,0.02268,-0.00461,-0.00637,-0.02712,-0.02030,-0.03344,-0.02062,-0.02917,-0.01208,-0.01782,
0.00394,0.02179,0.01434,0.03234,0.02121,0.03459,0.01578,0.02342,-0.00128,0.00190,-0.02470,-0.02252,-0.04668,-0.03557,-0.04064,-0.00713,0.00713,0.04064,0.03557,0.04668,0.02252,0.02470,-0.00190,0.00128,-0.02342,-0.01578,-0.03459,-0.02121,-0.03234,-0.01434,-0.02179,-0.00394,
0.01384,0.00696,0.02564,0.01726,0.03175,0.02051,0.03040,0.01512,0.01839,-0.00102,-0.00007,-0.01886,-0.01310,-0.02640,-0.01071,-0.01291,0.01291,0.01071,0.02640,0.01310,0.01886,0.00007,0.00102,-0.01839,-0.01512,-0.03040,-0.02051,-0.03175,-0.01726,-0.02564,-0.00696,-0.01384,
-0.00054,0.01655,0.00937,0.02830,0.01775,0.03415,0.01652,0.03011,0.00825,0.01955,-0.00296,0.00736,-0.01485,-0.00176,-0.01528,0.00441,-0.00441,0.01528,0.00176,0.01485,-0.00736,0.00296,-0.01955,-0.00825,-0.03011,-0.01652,-0.03415,-0.01775,-0.02830,-0.00937,-0.01655,0.00054,
0.00924,0.00136,0.02021,0.01151,0.02725,0.01716,0.03016,0.01768,0.02524,0.01016,0.01560,0.00044,0.00835,-0.00613,0.00477,-0.00728,0.00728,-0.00477,0.00613,-0.00835,-0.00044,-0.01560,-0.01016,-0.02524,-0.01768,-0.03016,-0.01716,-0.02725,-0.01151,-0.02021,-0.00136,-0.00924,
-0.00532,0.01123,0.00348,0.02175,0.01205,0.02905,0.01417,0.02914,0.01157,0.02525,0.00710,0.01843,-0.00083,0.00959,-0.00535,0.00681,-0.00681,0.00535,-0.00959,0.00083,-0.01843,-0.00710,-0.02525,-0.01157,-0.02914,-0.01417,-0.02905,-0.01205,-0.02175,-0.00348,-0.01123,0.00532,
0.00440,-0.00273,0.01314,0.00560,0.01950,0.01206,0.02439,0.01535,0.02383,0.01244,0.01942,0.00695,0.01464,0.00112,0.00872,-0.00470,0.00470,-0.00872,-0.00112,-0.01464,-0.00695,-0.01942,-0.01244,-0.02383,-0.01535,-0.02439,-0.01206,-0.01950,-0.00560,-0.01314,0.00273,-0.00440,
-0.00903,0.00721,-0.00284,0.01530,0.00434,0.02161,0.00789,0.02392,0.00877,0.02327,0.00715,0.01953,0.00163,0.01303,-0.00338,0.00830,-0.00830,0.00338,-0.01303,-0.00163,-0.01953,-0.00715,-0.02327,-0.00877,-0.02392,-0.00789,-0.02161,-0.00434,-0.01530,0.00284,-0.00721,0.00903,
0.00253,-0.00711,0.00784,-0.00207,0.01343,0.00301,0.01831,0.00669,0.02038,0.00661,0.01830,0.00354,0.01546,-0.00010,0.01047,-0.00550,0.00550,-0.01047,0.00010,-0.01546,-0.00354,-0.01830,-0.00661,-0.02038,-0.00669,-0.01831,-0.00301,-0.01343,0.00207,-0.00784,0.00711,-0.00253,
-0.00967,0.00362,-0.00669,0.00797,-0.00247,0.01261,0.00106,0.01538,0.00306,0.01675,0.00331,0.01536,0.00040,0.01141,-0.00287,0.00747,-0.00747,0.00287,-0.01141,-0.00040,-0.01536,-0.00331,-0.01675,-0.00306,-0.01538,-0.00106,-0.01261,0.00247,-0.00797,0.00669,-0.00362,0.00967,
0.00225,-0.00923,0.00382,-0.00747,0.00640,-0.00368,0.00982,-0.00059,0.01227,0.00126,0.01262,0.00054,0.01185,-0.00149,0.00852,-0.00510,0.00510,-0.00852,0.00149,-0.01185,-0.00054,-0.01262,-0.00126,-0.01227,0.00059,-0.00982,0.00368,-0.00640,0.00747,-0.00382,0.00923,-0.00225,
-0.00885,0.00225,-0.00972,0.00348,-0.00832,0.00505,-0.00545,0.00818,-0.00285,0.01015,-0.00111,0.01102,-0.00180,0.00963,-0.00356,0.00694,-0.00694,0.00356,-0.00963,0.00180,-0.01102,0.00111,-0.01015,0.00285,-0.00818,0.00545,-0.00505,0.00832,-0.00348,0.00972,-0.00225,0.00885,
