0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
-0.02088,-0.00131,-0.00498,0.02073,0.02247,0.05433,0.05798,0.09598,0.10577,0.15929,0.21476,0.41861,1.04866,3.83909,18.06312,101.57008,-101.57008,-18.06312,-3.83909,-1.04866,-0.41861,-0.21476,-0.15929,-0.10577,-0.09598,-0.05798,-0.05433,-0.02247,-0.02073,0.00498,0.00131,0.02088,
-0.00793,-0.01470,0.00728,0.00751,0.03437,0.03951,0.07128,0.07999,0.11687,0.13862,0.21124,0.33744,0.74230,1.96436,5.85707,14.49363,-14.49363,-5.85707,-1.96436,-0.74230,-0.33744,-0.21124,-0.13862,-0.11687,-0.07999,-0.07128,-0.03951,-0.03437,-0.00751,-0.00728,0.01470,0.00793,
-0.02138,-0.00210,-0.00560,0.01773,0.02112,0.04845,0.05492,0.08552,0.09673,0.13489,0.16581,0.25608,0.41819,0.82910,1.62347,2.28814,-2.28814,-1.62347,-0.82910,-0.41819,-0.25608,-0.16581,-0.13489,-0.09673,-0.08552,-0.05492,-0.04845,-0.02112,-0.01773,0.00560,0.00210,0.02138,
-0.00814,-0.01605,0.00529,0.00299,0.02958,0.03080,0.06294,0.06452,0.09837,0.10303,0.14423,0.16724,0.24804,0.34264,0.48850,0.41315,-0.41315,-0.48850,-0.34264,-0.24804,-0.16724,-0.14423,-0.10303,-0.09837,-0.06452,-0.06294,-0.03080,-0.02958,-0.00299,-0.00529,0.01605,0.00814,
-0.02110,-0.00342,-0.00919,0.01363,0.01237,0.03957,0.03948,0.06881,0.06960,0.09914,0.10039,0.13255,0.13843,0.17361,0.16338,0.10692,-0.10692,-0.16338,-0.17361,-0.13843,-0.13255,-0.10039,-0.09914,-0.06960,-0.06881,-0.03948,-0.03957,-0.01237,-0.01363,0.00919,0.00342,0.02110,
-0.00794,-0.01699,0.00077,-0.00183,0.01879,0.02073,0.04441,0.04741,0.06849,0.06962,0.08788,0.08460,0.09921,0.08655,0.08128,0.02772,-0.02772,-0.08128,-0.08655,-0.09921,-0.08460,-0.08788,-0.06962,-0.06849,-0.04741,-0.04441,-0.02073,-0.01879,0.00183,-0.00077,0.01699,0.00794,
-0.02040,-0.00399,-0.01346,0.00861,0.00154,0.02820,0.02015,0.04981,0.04013,0.06823,0.05502,0.07683,0.05711,0.06515,0.03491,0.02297,-0.02297,-0.03491,-0.06515,-0.05711,-0.07683,-0.05502,-0.06823,-0.04013,-0.04981,-0.02015,-0.02820,-0.00154,-0.00861,0.01346,0.00399,0.02040,
-0.00676,-0.01690,-0.00302,-0.00666,0.00795,0.00963,0.02566,0.02896,0.04130,0.04194,0.05044,0.04463,0.04928,0.03399,0.03129,0.00404,-0.00404,-0.03129,-0.03399,-0.04928,-0.04463,-0.05044,-0.04194,-0.04130,-0.02896,-0.02566,-0.00963,-0.00795,0.00666,0.00302,0.01690,0.00676,
-0.01807,-0.00332,-0.01646,0.00430,-0.00821,0.01750,0.00297,0.03198,0.01568,0.04365,0.02443,0.04672,0.02318,0.03574,0.00978,0.01445,-0.01445,-0.00978,-0.03574,-0.02318,-0.04672,-0.02443,-0.04365,-0.01568,-0.03198,-0.00297,-0.01750,0.00821,-0.00430,0.01646,0.00332,0.01807,
-0.00375,-0.01566,-0.00378,-0.01113,0.00159,-0.00197,0.01287,0.01008,0.02220,0.01806,0.02778,0.01919,0.02663,0.01309,0.01725,-0.00161,0.00161,-0.01725,-0.01309,-0.02663,-0.01919,-0.02778,-0.01806,-0.02220,-0.01008,-0.01287,0.00197,-0.00159,0.01113,0.00378,0.01566,0.00375,
-0.01412,-0.00212,-0.01458,-0.00040,-0.01113,0.00549,-0.00511,0.01338,0.00250,0.02071,0.00828,0.02367,0.00814,0.01855,0.00192,0.00910,-0.00910,-0.00192,-0.01855,-0.00814,-0.02367,-0.00828,-0.02071,-0.00250,-0.01338,0.00511,-0.00549,0.01113,0.00040,0.01458,0.00212,0.01412,
0.00083,-0.01359,-0.00092,-0.01392,0.00058,-0.01111,0.00581,-0.00538,0.01149,-0.00065,0.01494,0.00126,0.01532,0.00022,0.01138,-0.00543,0.00543,-0.01138,-0.00022,-0.01532,-0.00126,-0.01494,0.00065,-0.01149,0.00538,-0.00581,0.01111,-0.00058,0.01392,0.00092,0.01359,-0.00083,
-0.01001,0.00168,-0.01238,-0.00051,-0.01255,0.00048,-0.01104,0.00341,-0.00694,0.00749,-0.00343,0.01014,-0.00231,0.00979,-0.00364,0.00756,-0.00756,0.00364,-0.00979,0.00231,-0.01014,0.00343,-0.00749,0.00694,-0.00341,0.01104,-0.00048,0.01255,0.00051,0.01238,-0.00168,0.01001,
0.00489,-0.00908,0.00160,-0.01175,-0.00040,-0.01261,0.00054,-0.01173,0.00260,-0.00899,0.00505,-0.00719,0.00687,-0.00570,0.00656,-0.00619,0.00619,-0.00656,0.00570,-0.00687,0.00719,-0.00505,0.00899,-0.00260,0.01173,-0.00054,0.01261,0.00040,0.01175,-0.00160,0.00908,-0.00489,
-0.00526,0.00526,-0.00866,0.00159,-0.01169,-0.00066,-0.01298,-0.00044,-0.01228,0.00065,-0.01010,0.00297,-0.00817,0.00462,-0.00643,0.00601,-0.00601,0.00643,-0.00462,0.00817,-0.00297,0.01010,-0.00065,0.01228,0.00044,0.01298,0.00066,0.01169,-0.00159,0.00866,-0.00526,0.00526,
0.00808,-0.00526,0.00490,-0.00869,0.00155,-0.01190,-0.00084,-0.01394,-0.00114,-0.01284,0.00003,-0.01102,0.00216,-0.00849,0.00398,-0.00654,0.00654,-0.00398,0.00849,-0.00216,0.01102,-0.00003,0.01284,0.00114,0.01394,0.00084,0.01190,-0.00155,0.00869,-0.00490,0.00526,-0.00808,
