0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
0.00817,-0.01084,-0.00548,-0.02625,-0.01644,-0.03681,-0.01963,-0.03302,-0.00479,-0.00762,0.03184,0.03831,0.07998,0.08390,0.09466,0.03697,-0.03697,-0.09466,-0.08390,-0.07998,-0.03831,-0.03184,0.00762,0.00479,0.03302,0.01963,0.03681,0.01644,0.02625,0.00548,0.01084,-0.00817,
-0.00447,-0.00134,-0.02000,-0.01648,-0.03371,-0.02383,-0.03176,-0.01392,-0.00883,0.02295,0.04600,0.10129,0.14661,0.21853,0.23689,0.15779,-0.15779,-0.23689,-0.21853,-0.14661,-0.10129,-0.04600,-0.02295,0.00883,0.01392,0.03176,0.02383,0.03371,0.01648,0.02000,0.00134,0.00447,
0.00506,-0.01405,-0.01043,-0.02917,-0.02087,-0.03557,-0.01832,-0.02031,0.01350,0.03391,0.10083,0.17011,0.31667,0.50948,0.75720,0.65733,-0.65733,-0.75720,-0.50948,-0.31667,-0.17011,-0.10083,-0.03391,-0.01350,0.02031,0.01832,0.03557,0.02087,0.02917,0.01043,0.01405,-0.00506,
-0.00768,-0.00368,-0.02296,-0.01844,-0.03535,-0.02271,-0.02835,-0.00204,0.01371,0.07117,0.14079,0.30528,0.60669,1.29275,2.58100,3.59975,-3.59975,-2.58100,-1.29275,-0.60669,-0.30528,-0.14079,-0.07117,-0.01371,0.00204,0.02835,0.02271,0.03535,0.01844,0.02296,0.00368,0.00768,
0.00310,-0.01566,-0.01258,-0.03053,-0.02226,-0.03424,-0.01542,-0.00944,0.03403,0.08236,0.20744,0.44879,1.12706,3.11706,9.24323,22.59935,-22.59935,-9.24323,-3.11706,-1.12706,-0.44879,-0.20744,-0.08236,-0.03403,0.00944,0.01542,0.03424,0.02226,0.03053,0.01258,0.01566,-0.00310,
-0.00814,-0.00480,-0.02377,-0.01872,-0.03585,-0.02149,-0.02711,0.00483,0.02606,0.10444,0.22267,0.56941,1.62693,6.05880,28.24428,156.91230,-156.91230,-28.24428,-6.05880,-1.62693,-0.56941,-0.22267,-0.10444,-0.02606,-0.00483,0.02711,0.02149,0.03585,0.01872,0.02377,0.00480,0.00814,
0.00310,-0.01566,-0.01258,-0.03053,-0.02226,-0.03424,-0.01542,-0.00944,0.03403,0.08236,0.20744,0.44879,1.12706,3.11706,9.24323,22.59935,-22.59935,-9.24323,-3.11706,-1.12706,-0.44879,-0.20744,-0.08236,-0.03403,0.00944,0.01542,0.03424,0.02226,0.03053,0.01258,0.01566,-0.00310,
-0.00768,-0.00368,-0.02296,-0.01844,-0.03535,-0.02271,-0.02835,-0.00204,0.01371,0.07117,0.14079,0.30528,0.60669,1.29275,2.58100,3.59975,-3.59975,-2.58100,-1.29275,-0.60669,-0.30528,-0.14079,-0.07117,-0.01371,0.00204,0.02835,0.02271,0.03535,0.01844,0.02296,0.00368,0.00768,
0.00506,-0.01405,-0.01043,-0.02917,-0.02087,-0.03557,-0.01832,-0.02031,0.01350,0.03391,0.10083,0.17011,0.31667,0.50948,0.75720,0.65733,-0.65733,-0.75720,-0.50948,-0.31667,-0.17011,-0.10083,-0.03391,-0.01350,0.02031,0.01832,0.03557,0.02087,0.02917,0.01043,0.01405,-0.00506,
-0.00447,-0.00134,-0.02000,-0.01648,-0.03371,-0.02383,-0.03176,-0.01392,-0.00883,0.02295,0.04600,0.10129,0.14661,0.21853,0.23689,0.15779,-0.15779,-0.23689,-0.21853,-0.14661,-0.10129,-0.04600,-0.02295,0.00883,0.01392,0.03176,0.02383,0.03371,0.01648,0.02000,0.00134,0.00447,
0.00817,-0.01084,-0.00548,-0.02625,-0.01644,-0.03681,-0.01963,-0.03302,-0.00479,-0.00762,0.03184,0.03831,0.07998,0.08390,0.09466,0.03697,-0.03697,-0.09466,-0.08390,-0.07998,-0.03831,-0.03184,0.00762,0.00479,0.03302,0.01963,0.03681,0.01644,0.02625,0.00548,0.01084,-0.00817,
-0.00108,0.00185,-0.01446,-0.01357,-0.02751,-0.02452,-0.02936,-0.02412,-0.02008,-0.00928,0.00034,0.01929,0.02631,0.04117,0.02845,0.02057,-0.02057,-0.02845,-0.04117,-0.02631,-0.01929,-0.00034,0.00928,0.02008,0.02412,0.02936,0.02452,0.02751,0.01357,0.01446,-0.00185,0.00108,
0.01225,-0.00769,0.00025,-0.02149,-0.01018,-0.03371,-0.01637,-0.03756,-0.01212,-0.02774,0.00275,-0.00878,0.01696,0.00560,0.01836,-0.00109,0.00109,-0.01836,-0.00560,-0.01696,0.00878,-0.00275,0.02774,0.01212,0.03756,0.01637,0.03371,0.01018,0.02149,-0.00025,0.00769,-0.01225,
0.00205,0.00574,-0.00999,-0.00681,-0.02231,-0.01730,-0.02613,-0.02121,-0.02497,-0.01787,-0.01844,-0.00465,-0.00836,0.00586,-0.00496,0.00856,-0.00856,0.00496,-0.00586,0.00836,0.00465,0.01844,0.01787,0.02497,0.02121,0.02613,0.01730,0.02231,0.00681,0.00999,-0.00574,-0.00205,
0.01379,-0.00368,0.00442,-0.01408,-0.00403,-0.02534,-0.01144,-0.03155,-0.01238,-0.02915,-0.00650,-0.02010,0.00010,-0.01126,0.00402,-0.00651,0.00651,-0.00402,0.01126,-0.00010,0.02010,0.00650,0.02915,0.01238,0.03155,0.01144,0.02534,0.00403,0.01408,-0.00442,0.00368,-0.01379,
0.00201,0.00931,-0.00513,0.00014,-0.01437,-0.00841,-0.01907,-0.01379,-0.02089,-0.01462,-0.01979,-0.00891,-0.01449,-0.00203,-0.00921,0.00486,-0.00486,0.00921,0.00203,0.01449,0.00891,0.01979,0.01462,0.02089,0.01379,0.01907,0.00841,0.01437,-0.00014,0.00513,-0.00931,-0.00201,
0.01280,-0.00072,0.00794,-0.00729,0.00229,-0.01476,-0.00447,-0.02035,-0.00761,-0.02067,-0.00564,-0.01796,-0.00260,-0.01216,0.00205,-0.00704,0.00704,-0.00205,0.01216,0.00260,0.01796,0.00564,0.02067,0.00761,0.02035,0.00447,0.01476,-0.00229,0.00729,-0.00794,0.00072,-0.01280,
0.00073,0.01119,-0.00208,0.00695,-0.00783,0.00169,-0.01195,-0.00218,-0.01510,-0.00442,-0.01567,-0.00318,-0.01333,0.00002,-0.00882,0.00478,-0.00478,0.00882,-0.00002,0.01333,0.00318,0.01567,0.00442,0.01510,0.00218,0.01195,-0.00169,0.00783,-0.00695,0.00208,-0.01119,-0.00073,
0.01208,-0.00061,0.01049,-0.00251,0.00796,-0.00590,0.00318,-0.00936,0.00009,-0.01079,-0.00030,-0.01158,0.00068,-0.00941,0.00371,-0.00700,0.00700,-0.00371,0.00941,-0.00068,0.01158,0.00030,0.01079,-0.00009,0.00936,-0.00318,0.00590,-0.00796,0.00251,-0.01049,0.00061,-0.01208,
-0.00120,0.01141,-0.00059,0.01095,-0.00250,0.00970,-0.00497,0.00734,-0.00744,0.00463,-0.00942,0.00400,-0.00949,0.00407,-0.00791,0.00616,-0.00616,0.00791,-0.00407,0.00949,-0.00400,0.00942,-0.00463,0.00744,-0.00734,0.00497,-0.00970,0.00250,-0.01095,0.00059,-0.01141,0.00120,
0.00912,-0.00120,0.01150,0.00005,0.01235,-0.00097,0.01156,-0.00313,0.00923,-0.00504,0.00717,-0.00722,0.00595,-0.00695,0.00576,-0.00654,0.00654,-0.00576,0.00695,-0.00595,0.00722,-0.00717,0.00504,-0.00923,0.00313,-0.01156,0.00097,-0.01235,-0.00005,-0.01150,0.00120,-0.00912,
